In which English town was William Harvey born in 1578?,"Folkestone, Kent."
What was the immediate impact of the publication of *De Motu Cordis* on Harvey's private medical practice?,It declined significantly as some people believed he was 'crack-brained'.
Which Spanish physician described the 'lesser circulation' (pulmonary circulation) before Harvey but was executed for heresy?,Michael Servetus.
What was the title of Harvey's 1651 book concerning the development of the embryo?,De Generatione Animalium (The Generation of Animals).
"According to Harvey, what is the 'sovereign of everything' within the animal microcosm?",The heart.
"In Harvey's observations of the heart, which chambers contract first to 'arouse the somnolent heart'?",The atria.
"Which philosopher and patient of Harvey is credited with elucidating the inductive method, though Harvey claimed he wrote science 'like a Lord Chancellor'?",Francis Bacon.
What core principle of modern science did Harvey employ by refusing to accept any evidence not verifiable by the senses?,The experimental method.
"Harvey's work marked a transition in medicine from the 'age of the eye' to the 'age of the _____' (the thinking, planning hand).",Hand.
What is the primary reason Harvey's discovery did not immediately change medical treatments like bloodletting?,Physicians believed their traditional treatments worked based on the old theories.
Harvey estimated the capacity of the human ventricle to be approximately _____ to _____ ounces.,$2$ to $3$ ounces.
Harvey used which term to describe the direction of blood flow in the veins moving toward the heart?,Centripetal.
Harvey used which term to describe the direction of blood flow in the arteries moving away from the heart?,Centrifugal.
What happened to the manuscript of Harvey's 'Medical Anatomy' that focused on pathological changes in organs?,It was never published and is presumed lost.
Harvey demonstrated that the heart expels blood into the aorta during which phase of the cardiac cycle?,Systole.
"According to Harvey's theory, the only reason for the heartbeat and motion of the heart is to _____.",Pump the blood continuously around the body.
Harvey's discovery that blood returns to the heart via the veins was inspired by his mentor's discovery of _____.,Venous valves.
"Before Harvey, Galenists believed that blood in the arteries was mixed with a refined air called _____.",Pneuma (or vital spirit).
What does Harvey's 'quantitative evidence' prove about the relationship between blood and food consumption?,The amount of blood pumped is far more than could be supplied by the food consumed.
"Which scientist, influenced by Harvey, performed the first successful blood transfusion experiments between dogs?",Richard Lower.
Harvey's study of deer in Richmond Park was primarily focused on what biological subject?,The development of the fetus (generation).
Harvey's insistence that 'Nature herself must be our advisor' emphasizes the importance of _____ over ancient texts.,Direct observation (or experience).
How did Harvey describe the motion of the heart when it is about to die in mammals?,"It becomes slower and weaker with longer pauses, making its mechanism easier to see."
Which phase of the cardiac cycle involves the heart relaxing and passively filling with blood?,Diastole.
"In Harvey's circular path, blood travels from the right ventricle specifically to which organ first?",The lungs.
"According to Harvey, blood returns from the lungs to the heart through which vessels?",Pulmonary veins.
What central pumping chamber of the heart drives blood into the aorta?,The left ventricle.
Harvey stated that 'all the arteries of the body respond as my _____ blown into a glove.',Breath.
Which 17th-century group of physicians in Paris remained notoriously loyal to Galenic teachings and rejected Harvey's work for some time?,The Faculty of Medicine of Paris.
What was the name of the colleague who reported that Harvey 'fell mightily in his practice' after publishing his findings?,John Aubrey.
Harvey's use of measurement to solve biological problems is considered his greatest _____ contribution.,Philosophical.
Term: Centripetal venous flow,Definition: The movement of blood in the veins directed from the peripheral tissues toward the center of the body (the heart).
Term: Centrifugal arterial flow,Definition: The movement of blood in the arteries directed from the heart outward toward the peripheral tissues.
Harvey's letter to the President and Fellows of the College of Physicians serves as the _____ to his great book.,Preface.
In what year did William Harvey die after suffering a stroke?,1657.
"According to Harvey, truth is to be sought not from the 'dogmas of philosophers' but from the _____.",Fabric of Nature.
Which Harveian student discovered the 'circle' of blood vessels in the brain?,Thomas Willis.
Harvey disproved the idea that the pulse was caused by the expansion of air; he proved it was a wave of _____.,Blood.
The Greek concept of the pulse was that it was caused by the rhythmic dilatation of _____ within the arteries.,Pneuma.
Harvey's work on the circulation was the first time a major physiological problem was approached from the _____ side.,Experimental.
How did Harvey describe writers who produced 'trifling productions' in his era?,Shit-britches.
At what age did William Harvey receive his B.A. degree from Cambridge?,19 (in the year 1597).
Which 16th-century Italian anatomist reiterating pulmonary circulation in 1559 likely influenced Harvey's later work?,Realdo Colombo.
Harvey's estimate of heart output: $72$ beats per minute $\times$ $2$ ounces $\times$ $60$ minutes equals _____ ounces per hour.,"$8,640$ ounces."
Concept: Harvey's Quantitative Proof,"The calculation that the heart pumps more blood in an hour than the body weighs, proving blood must be recycled rather than consumed."
